year,sampleId,farmName,farmer,farmerId,fieldName,fieldId,county,crop,texture,bd_g.cm3,pmN_lbs.ac,ammN_mg.kg,nitrateN_mg.kg,pmN_mg.kg,poxC_mg.kg,pH,EC_mmhos.cm,K_mg.kg,Ca_mg.kg,Mg_mg.kg,Na_mg.kg,CEC_meq.100g,B_mg.kg,Cu_mg.kg,Fe_mg.kg,Mn_mg.kg,S_mg.kg,Zn_mg.kg,totalC_%,totalN_%,ace_g.protein.kg.soil,sand_%,silt_%,clay_%,96hrminC_mgC.kg.day,wsa_%,OM_%,TOC_%,WHC_in.ft,longitude,latitude
2023,23-SUN-01,Sunflower Farm,Sammy Sunflower,WUY05,Field 01,1,County 9,Sunflower,Loamy Sand,1.3,67.13,1.6,9.2,19,496,6.7,0.42,498,1380,145.2,16.1,7.8,0.22,0.6,26,1.5,4.29,1.7,1.85,0.16,6.74,44,23,3,35.6,88.5,4.5,1.85,1.01,-119,49
2022,22-ORC-02,Orchard Farm,Oscar Orchard,RHM05,Field 02,2,County 18,Cherry,Sandy Loam,0.88,129.97,21.6,6.1,54.1,571,5.9,0.05,198,780,96.8,20.7,10.5,0.09,0.4,28,2.7,9.41,0.8,2.88,0.18,21.5,69,21,10,30,92.6,5.8,2.88,1.08,-123,47
2022,22-TOM-02,Tina's Farm,Tina Tomato,ENR07,Field 02,2,County 11,Vegetable,Silt Loam,1.21,122.17,8.1,25.3,37,419,6.3,0.6,294,1760,266.2,20.7,13,0.41,4.2,141,4.1,26.73,4.2,1.68,0.14,10.9,11,79,10,15,91.3,2.4,1.68,2.77,-122,47
2022,22-HAR-03,Farm 061,Henry Harvest,ZTD04,Field 03,3,County 13,Herb,Silt Loam,1.37,95.24,13.8,16.9,25.6,424,6.8,2.18,229,3380,738.1,80.5,14.4,0.72,1.1,37,11.5,51.7,2.4,1.4,0.12,5.53,36,51,13,67.5,94.3,2.9,1.4,1.93,-120,46
2023,23-GAR-03,Farm 150,Grace Gardener,WUY05,Field 03,3,County 9,Sunflower,Sandy Loam,1.22,111.35,3.9,6.7,33.6,547,7.6,0.6,273,2820,193.6,13.8,10.1,0.25,0.7,15,1.7,3.29,0.8,1.65,0.16,4.2,64,33,3,50.6,84.6,6.7,1.53,1.28,-119,49
2022,22-QUI-02,Farm 107,Quincy Quinoa,BKG08,Field 02,2,County 14,Quinoa,Silt Loam,1.14,61.92,12.4,4.3,20,235,5.5,0.81,372,1480,229.9,16.1,12.4,0.18,1,64,9,4.51,0.5,1.55,0.13,10.3,24,62,14,25.5,86.6,3.2,1.55,2.25,-117,47
2023,23-VEG-01,Farm 160,Vicky Veggie,VAY01,Field 01,1,County 17,Onion,Loamy Sand,1.44,-77.9,2.4,21.5,-19.9,501,5.5,0.55,289,1140,133.1,23,12.9,0.12,0.5,44,4.4,9.13,34,2.25,0.15,7.73,80,16,4,30.6,86.9,27,2.25,0.84,-118,49
2022,22-WHE-02,Farm 070,Walter Wheaton,UPD03,Field 02,2,County 14,Wheat,Silt Loam,1.24,113.23,12.4,7.4,33.6,480,5.9,0.34,355,2080,229.9,16.1,14.8,0.21,1.4,85,17.1,8.26,0.9,2.37,0.17,6.82,22,57,21,24,82.5,4.2,2.37,2.14,-117,47
2023,23-APP-01,Farm 157,Alice Appleton,VWK08,Field 01,1,County 23,Apple,Sandy Loam,0.84,274.24,2.3,2.3,120.1,965,6.3,1.64,253,2680,423.5,85.1,16.6,1.55,1.1,129,9.9,30.25,7.8,4.34,0.33,9.92,62,26,12,64.1,95.8,7.9,4.34,1.24,-123,48
2022,22-BER-01,Farm 049,Bob Berryman,WBI03,Field 01,1,County 10,Raspberry,Loam,0.98,141.54,19.2,54.6,53.3,1055,6,0.57,733,880,108.9,55.2,16.2,0.31,0.5,31,11.4,21.16,0.6,3.31,0.19,7.83,48,45,7,13.4,72.7,5.7,3.31,1.69,-117,48
2023,23-NFO07-01,Farm 116,Tyler,NFO07,Field 01,1,County 20,Forest,Loamy Sand,1.04,31.57,4.6,0.4,11.2,975,5.5,0.1,35,320,60.5,20.7,7.2,0.11,0.9,86,5.4,6.33,0.9,1.37,0.07,16.65,80,14,6,7.1,92.1,3,1.37,0.82,-123,46
2022,22-PUN05-01,Farm 036,Madeeha,PUN05,Field 01,1,County 8,Commercial Tree,Sandy Loam,1.42,94.1,14.1,1.1,24.3,641,6.1,0.86,72,900,217.8,11.5,10.8,0.09,0.6,38,11.1,4.24,0.9,5.6,0.17,17.96,69,27,4,66,94.3,5.9,5.6,1.13,-123,47
2023,23-RDQ08-02,Farm 136,Zachery,RDQ08,Field 02,2,County 7,Commercial Tree,Silt Loam,0.78,47.82,30.5,28.9,22.5,634,5.3,0.26,139,280,84.7,25.3,27.1,0.2,0.4,48,5.4,170.19,0.2,5.26,0.3,6.7,40,50,10,24.5,91.6,9.8,5.26,1.87,-123,47
2022,22-IOX04-08,Farm 060,Alisa,IOX04,Field 08,8,County 13,Herb,Silt Loam,1.16,174.39,18,50.9,55.1,486,6.9,2.42,338,4180,520.3,55.2,11.4,0.35,1.6,45,8.5,151.16,1.2,1.82,0.18,3.64,31,56,13,39.75,94.2,3.3,1.82,2.08,-121,46
2022,22-HAO03-02,Farm 084,Brandi,HAO03,Field 02,2,County 18,Native Land,Loam,0.96,104.12,22.9,0.4,39.7,416,5.3,0.08,73,460,145.2,20.7,11.8,0.15,0.4,174,15.3,8.98,0.6,2.28,0.15,18.6,41,43,16,18.8,97.9,4.7,2.28,1.75,-123,47
2023,23-HDQ07-01,Farm 158,Phayd,HDQ07,Field 01,1,County 23,Berry,Sandy Loam,0.51,120.1,5.2,5.2,87.1,1315,6.1,1.79,50,10000,641.3,331.2,61.1,2.25,2.5,411,13.9,72.21,18.5,22.46,1.14,34.67,56,28,16,56,93.4,32.6,22.46,1.36,-123,49
2022,22-XSL07-03,Farm 054,Rocky,XSL07,Field 03,3,County 11,"Pasture, Seeded",Silt Loam,0.94,147.6,4.7,3.9,57.6,482,6.2,0.52,101,1540,278.3,55.2,11.3,0.35,5.2,226,6.5,15.01,1.4,2.99,0.18,12.9,18,73,9,37.5,97.6,4.7,2.99,2.57,-122,47
2022,22-RUX09-01,Farm 092,Nika,RUX09,Field 01,1,County 19,"Pasture, Seeded",Sandy Loam,1.3,157.05,5,4.2,44.3,442,5.8,0.44,342,1960,1185.8,25.3,17.7,0.33,2.9,169,3.4,3.1,2.4,1.78,0.12,6.87,54,33,13,60,92.4,4,1.78,1.44,-122,49
